author_type,url,floor,floors_count,rooms_count,total_meters,price,underground
real_estate_agent,https://www.cian.ru/sale/flat/308907059/,10,32,2,64.4,51000000.0,Поклонная
real_estate_agent,https://www.cian.ru/sale/flat/305111360/,4,16,2,37.0,19000000.0,Москва-Сити
unknown,https://www.cian.ru/sale/flat/308497818/,16,41,2,51.0,34000000.0,Шелепиха
homeowner,https://www.cian.ru/sale/flat/308079051/,3,24,2,53.2,19570000.0,Верхние котлы
developer,https://krasnodar.cian.ru/sale/flat/307540724/,2,16,1,37.9,5306000.0,
unknown,https://www.cian.ru/sale/flat/305768574/,6,42,1,42.0,29000000.0,Шелепиха
real_estate_agent,https://spb.cian.ru/sale/flat/304536515/,4,4,1,42.7,5590000.0,Проспект Ветеранов
developer,https://krym.cian.ru/sale/flat/305496512/,3,8,2,76.9,23000000.0,
real_estate_agent,https://www.cian.ru/sale/flat/272003903/,5,6,2,43.0,26900000.0,Белорусская
real_estate_agent,https://www.cian.ru/sale/flat/308690483/,10,14,2,56.7,22232323.0,Филёвский парк
real_estate_agent,https://www.cian.ru/sale/flat/301258691/,2,21,2,57.23,59000000.0,Улица 1905 года
real_estate_agent,https://www.cian.ru/sale/flat/307822693/,9,18,2,66.4,69700000.0,Воробьёвы горы
realtor,https://www.cian.ru/sale/flat/308711044/,8,22,1,40.0,13290000.0,Люблино
developer,https://ekb.cian.ru/sale/flat/306297919/,2,18,2,49.5,7730000.0,Площадь 1905 года
real_estate_agent,https://www.cian.ru/sale/flat/298050405/,7,9,2,108.3,154000000.0,Маяковская
real_estate_agent,https://www.cian.ru/sale/flat/305679729/,9,20,2,59.0,25370000.0,Тульская
realtor,https://spb.cian.ru/sale/flat/307823563/,4,17,2,74.0,17300000.0,Пионерская
developer,https://rostov.cian.ru/sale/flat/289997272/,19,25,2,38.54,5140000.0,
realtor,https://www.cian.ru/sale/flat/308892178/,6,9,2,75.0,64900000.0,Маяковская
realtor,https://www.cian.ru/sale/flat/308929771/,5,17,2,60.0,18550000.0,Марьино
developer,https://krym.cian.ru/sale/flat/305496510/,2,8,1,70.3,16000000.0,
real_estate_agent,https://www.cian.ru/sale/flat/299890518/,9,40,1,41.5,32000000.0,ЦСКА
real_estate_agent,https://www.cian.ru/sale/flat/308901152/,14,16,2,50.5,14000000.0,Отрадное
real_estate_agent,https://www.cian.ru/sale/flat/307103955/,24,24,2,58.0,37490000.0,Шелепиха
realtor,https://www.cian.ru/sale/flat/308532820/,7,12,2,55.0,13400000.0,
realtor,https://www.cian.ru/sale/flat/308360046/,4,9,2,43.1,29500000.0,Аэропорт
real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/299929933/,2,7,2,55.0,8899000.0,
developer,https://ekb.cian.ru/sale/flat/306297927/,3,18,1,34.1,5901000.0,Площадь 1905 года
real_estate_agent,https://www.cian.ru/sale/flat/307575540/,4,21,2,54.0,59000000.0,Улица 1905 года
homeowner,https://www.cian.ru/sale/flat/307814530/,7,15,2,46.5,23900000.0,ЦСКА
developer,https://rostov.cian.ru/sale/flat/304874041/,14,24,2,53.3,9160000.0,
real_estate_agent,https://www.cian.ru/sale/flat/301763282/,39,41,2,56.9,40000000.0,Аэропорт
developer,https://ekb.cian.ru/sale/flat/305791387/,6,23,2,52.3,6892000.0,Машиностроителей
real_estate_agent,https://www.cian.ru/sale/flat/308987029/,9,12,2,53.34,39975000.0,Маяковская
real_estate_agent,https://www.cian.ru/sale/flat/308805101/,4,6,1,35.1,23000000.0,Курская
developer,https://rostov.cian.ru/sale/flat/305377450/,15,19,2,42.1,8129999.0,
real_estate_agent,https://www.cian.ru/sale/flat/308882629/,9,12,2,79.8,48000000.0,Маяковская
developer,https://rostov.cian.ru/sale/flat/303045403/,24,25,1,33.37,4110000.0,
real_estate_agent,https://www.cian.ru/sale/flat/301550653/,13,41,1,41.5,31000000.0,Аэропорт
developer,https://ekb.cian.ru/sale/flat/301967067/,22,28,2,48.1,11409000.0,Динамо
homeowner,https://www.cian.ru/sale/flat/268629674/,10,10,1,38.5,11280000.0,Лермонтовский проспект
representative_developer,https://tyumen.cian.ru/sale/flat/301181335/,2,12,2,52.68,6460000.0,
real_estate_agent,https://www.cian.ru/sale/flat/303027445/,3,20,1,59.0,61800000.0,Улица 1905 года
developer,https://www.cian.ru/sale/flat/293713880/,2,14,2,85.6,175450000.0,Боровицкая
developer,https://krasnodar.cian.ru/sale/flat/294666388/,4,24,2,57.34,6375061.0,
real_estate_agent,https://www.cian.ru/sale/flat/308872981/,37,37,2,48.0,42500000.0,Аэропорт
homeowner,https://www.cian.ru/sale/flat/306775783/,2,9,2,37.4,14490000.0,Коломенская
developer,https://kazan.cian.ru/sale/flat/308626949/,3,21,2,72.09,19803495.0,Козья слобода
real_estate_agent,https://www.cian.ru/sale/flat/302177521/,3,15,2,58.54,61000000.0,Улица 1905 года
real_estate_agent,https://www.cian.ru/sale/flat/308069817/,4,21,2,54.0,58000000.0,Улица 1905 года
developer,https://ekb.cian.ru/sale/flat/308412334/,21,25,2,33.84,5924907.0,Уральская
real_estate_agent,https://www.cian.ru/sale/flat/306883426/,2,21,2,71.9,65000000.0,Улица 1905 года
realtor,https://spb.cian.ru/sale/flat/307347913/,10,17,1,45.0,13900000.0,Пионерская
developer,https://ekb.cian.ru/sale/flat/307999681/,18,23,1,32.7,4804000.0,Машиностроителей
real_estate_agent,https://www.cian.ru/sale/flat/280614853/,3,15,2,58.54,61000000.0,Улица 1905 года
real_estate_agent,https://sochi.cian.ru/sale/flat/308830155/,6,10,1,31.7,7280000.0,
developer,https://rostov.cian.ru/sale/flat/297424924/,23,25,2,38.68,5440000.0,
real_estate_agent,https://www.cian.ru/sale/flat/301565559/,5,21,2,117.0,115000000.0,Улица 1905 года
real_estate_agent,https://www.cian.ru/sale/flat/307986637/,11,14,1,35.0,13900000.0,Кутузовская
developer,https://rostov.cian.ru/sale/flat/306489398/,2,9,2,40.15,5230000.0,
real_estate_agent,https://www.cian.ru/sale/flat/308907051/,9,32,2,62.7,49800000.0,Поклонная
real_estate_agent,https://www.cian.ru/sale/flat/304572948/,3,14,1,39.0,9300000.0,Новопеределкино
developer,https://rostov.cian.ru/sale/flat/293615913/,4,13,1,47.1,8379202.0,
realtor,https://www.cian.ru/sale/flat/305034512/,7,17,2,60.3,13100000.0,Некрасовка
real_estate_agent,https://www.cian.ru/sale/flat/307655528/,3,14,1,43.5,12000000.0,Марьино
developer,https://rostov.cian.ru/sale/flat/301539762/,17,25,2,40.82,6370000.0,
real_estate_agent,https://www.cian.ru/sale/flat/308901319/,59,85,2,90.3,75000000.0,Деловой центр
realtor,https://www.cian.ru/sale/flat/307664639/,2,9,1,31.8,12190000.0,Молодёжная
developer,https://ekb.cian.ru/sale/flat/302623378/,2,29,1,34.6,8557000.0,Динамо
real_estate_agent,https://www.cian.ru/sale/flat/306454598/,8,9,2,60.7,74100000.0,Маяковская
real_estate_agent,https://www.cian.ru/sale/flat/306371748/,5,9,2,45.0,15990000.0,Новаторская
developer,https://ekb.cian.ru/sale/flat/298221060/,18,24,2,58.8,16220000.0,Геологическая
real_estate_agent,https://www.cian.ru/sale/flat/308888399/,5,21,2,64.76,68500000.0,Улица 1905 года
developer,https://ekb.cian.ru/sale/flat/298038341/,3,16,2,78.1,30792000.0,Динамо
real_estate_agent,https://www.cian.ru/sale/flat/307386695/,10,41,2,47.4,41000000.0,Аэропорт
realtor,https://www.cian.ru/sale/flat/307156518/,5,13,2,59.8,16350000.0,Марьино
developer,https://krasnodar.cian.ru/sale/flat/294667073/,2,24,1,40.58,5264038.0,
real_estate_agent,https://www.cian.ru/sale/flat/308896864/,10,32,2,64.4,51000000.0,Поклонная
realtor,https://www.cian.ru/sale/flat/299789842/,9,9,1,36.9,8850000.0,Братиславская
real_estate_agent,https://www.cian.ru/sale/flat/307113534/,16,19,2,45.8,32000000.0,Динамо
developer,https://spb.cian.ru/sale/flat/300486334/,4,9,1,32.44,5122600.0,Рыбацкое
real_estate_agent,https://sochi.cian.ru/sale/flat/308900987/,7,8,2,70.0,27000000.0,
real_estate_agent,https://sochi.cian.ru/sale/flat/306951109/,5,9,2,65.0,33000000.0,
developer,https://ekb.cian.ru/sale/flat/303975998/,13,19,2,51.8,7594000.0,Машиностроителей
real_estate_agent,https://www.cian.ru/sale/flat/299515958/,6,6,2,65.8,46999999.0,Павелецкая
real_estate_agent,https://spb.cian.ru/sale/flat/293545584/,19,23,1,36.4,8800000.0,Беговая
developer,https://kazan.cian.ru/sale/flat/308626955/,10,24,1,45.8,15809922.0,Козья слобода
realtor,https://www.cian.ru/sale/flat/308833064/,15,28,2,64.5,49000000.0,Раменки
real_estate_agent,https://www.cian.ru/sale/flat/307848098/,21,24,2,52.4,34900000.0,Арбатская
real_estate_agent,https://spb.cian.ru/sale/flat/307310259/,11,15,1,36.3,8200000.0,Комендантский проспект
developer,https://rostov.cian.ru/sale/flat/289504809/,24,25,1,30.41,4390000.0,
real_estate_agent,https://www.cian.ru/sale/flat/305646078/,24,24,2,57.4,37480000.0,Шелепиха
real_estate_agent,https://sochi.cian.ru/sale/flat/306301930/,2,3,2,50.0,11200000.0,
developer,https://rostov.cian.ru/sale/flat/306489613/,6,9,1,40.6,5310000.0,
real_estate_agent,https://www.cian.ru/sale/flat/308064930/,5,24,2,75.0,48000000.0,Шелепиха
realtor,https://www.cian.ru/sale/flat/308798471/,9,9,2,50.0,17500000.0,Сходненская
developer,https://rostov.cian.ru/sale/flat/305717857/,21,25,1,37.39,5565839.0,
real_estate_agent,https://spb.cian.ru/sale/flat/304880706/,4,14,2,57.7,15290500.0,Приморская
developer,https://ekb.cian.ru/sale/flat/299462077/,24,25,2,56.9,10454400.0,Чкаловская
realtor,https://www.cian.ru/sale/flat/307205775/,4,6,1,59.35,101785250.0,Кузнецкий мост
homeowner,https://www.cian.ru/sale/flat/308837547/,5,10,1,40.4,28900000.0,Кутузовская
developer,https://ekb.cian.ru/sale/flat/308414252/,11,16,2,47.1,6579206.0,Ботаническая
real_estate_agent,https://www.cian.ru/sale/flat/306226871/,3,14,2,106.9,160350000.0,Киевская
developer,https://sochi.cian.ru/sale/flat/296506130/,2,10,2,69.56,22259200.0,
real_estate_agent,https://www.cian.ru/sale/flat/306829886/,5,14,2,73.1,65520000.0,Серпуховская
representative_developer,https://kaliningrad.cian.ru/sale/flat/301978164/,2,14,2,65.8,9343600.0,
real_estate_agent,https://www.cian.ru/sale/flat/303778337/,9,14,2,99.9,134500000.0,Спортивная
developer,https://ekb.cian.ru/sale/flat/298036735/,4,24,1,40.4,10247000.0,Геологическая
real_estate_agent,https://www.cian.ru/sale/flat/307079313/,9,14,2,77.0,62000000.0,Минская
homeowner,https://www.cian.ru/sale/flat/306073042/,3,17,1,38.0,13700000.0,Свиблово
developer,https://ekb.cian.ru/sale/flat/298038407/,2,16,1,55.9,21462000.0,Динамо
unknown,https://www.cian.ru/sale/flat/305015991/,26,41,2,50.0,34000000.0,Шелепиха
real_estate_agent,https://www.cian.ru/sale/flat/305693861/,22,22,1,15.8,7890000.0,Юго-Западная
real_estate_agent,https://www.cian.ru/sale/flat/307826522/,3,9,2,148.5,189000000.0,Маяковская
real_estate_agent,https://spb.cian.ru/sale/flat/307440952/,3,5,2,67.2,28500000.0,Спортивная
homeowner,https://www.cian.ru/sale/flat/308512833/,3,9,2,44.0,15500000.0,Отрадное
real_estate_agent,https://spb.cian.ru/sale/flat/301470605/,5,13,1,36.62,9200000.0,Приморская
developer,https://ekb.cian.ru/sale/flat/303395042/,2,25,1,30.4,6288000.0,Машиностроителей
real_estate_agent,https://www.cian.ru/sale/flat/297469215/,8,9,2,64.2,77000000.0,Маяковская
real_estate_agent,https://sochi.cian.ru/sale/flat/247945326/,23,26,1,37.0,10000000.0,
developer,https://krasnodar.cian.ru/sale/flat/307199095/,3,6,2,45.4,5902000.0,
real_estate_agent,https://www.cian.ru/sale/flat/302630222/,25,45,1,64.0,40999999.0,Шелепиха
homeowner,https://www.cian.ru/sale/flat/306892967/,12,12,1,39.1,12600000.0,Сходненская
real_estate_agent,https://www.cian.ru/sale/flat/308363866/,3,9,2,37.0,13199000.0,Бабушкинская
real_estate_agent,https://www.cian.ru/sale/flat/308549670/,13,33,2,40.0,17900000.0,Бульвар Рокоссовского
developer,https://tyumen.cian.ru/sale/flat/297298593/,2,17,2,52.68,6460000.0,
real_estate_agent,https://www.cian.ru/sale/flat/303137027/,2,5,2,106.0,155000000.0,Площадь Революции
developer,https://ekb.cian.ru/sale/flat/299168872/,2,9,2,73.9,25839000.0,Динамо
real_estate_agent,https://www.cian.ru/sale/flat/305679592/,7,20,1,43.09,20252300.0,Тульская
developer,https://ekb.cian.ru/sale/flat/308413983/,3,16,1,35.8,5634818.0,Ботаническая
homeowner,https://www.cian.ru/sale/flat/308498116/,13,47,2,51.0,32950000.0,Фили
real_estate_agent,https://www.cian.ru/sale/flat/294476646/,3,5,1,31.0,18500000.0,Маяковская
developer,https://ekb.cian.ru/sale/flat/298221123/,25,25,1,37.2,8027100.0,Чкаловская
real_estate_agent,https://www.cian.ru/sale/flat/303761033/,31,65,2,51.1,50000000.0,Москва-Сити
real_estate_agent,https://sochi.cian.ru/sale/flat/295204012/,3,11,2,53.0,22300000.0,
real_estate_agent,https://www.cian.ru/sale/flat/305910950/,4,11,2,67.4,72000000.0,Поклонная
real_estate_agent,https://www.cian.ru/sale/flat/307089602/,31,40,2,79.1,30500000.0,Ховрино
developer,https://ekb.cian.ru/sale/flat/297995554/,14,25,2,70.6,11733000.0,Геологическая
realtor,https://www.cian.ru/sale/flat/308833375/,15,28,1,40.0,30500000.0,Раменки
real_estate_agent,https://www.cian.ru/sale/flat/293510493/,8,22,2,87.2,38000000.0,Поклонная
developer,https://www.cian.ru/sale/flat/308955323/,9,15,2,126.3,182291253.0,Улица 1905 года
real_estate_agent,https://www.cian.ru/sale/flat/307494611/,2,44,1,48.1,25000000.0,Улица 1905 года
real_estate_agent,https://sochi.cian.ru/sale/flat/308829800/,10,10,2,45.5,12250000.0,
developer,https://krym.cian.ru/sale/flat/299892583/,2,9,2,49.07,21968639.0,
real_estate_agent,https://www.cian.ru/sale/flat/307505747/,10,12,1,55.0,32500000.0,Маяковская
real_estate_agent,https://www.cian.ru/sale/flat/308878597/,3,7,2,62.0,53000000.0,Новокузнецкая
real_estate_agent,https://www.cian.ru/sale/flat/293704749/,4,38,2,65.0,23000000.0,Ростокино
developer,https://krasnodar.cian.ru/sale/flat/307199106/,3,6,1,33.4,4575800.0,
real_estate_agent,https://www.cian.ru/sale/flat/303582856/,4,21,2,56.2,55076000.0,Улица 1905 года
realtor,https://www.cian.ru/sale/flat/278701200/,2,15,1,31.9,11758286.0,ЦСКА
developer,https://krasnodar.cian.ru/sale/flat/308339502/,21,22,1,34.4,5105550.0,
real_estate_agent,https://www.cian.ru/sale/flat/306373900/,13,30,1,93.8,28999999.0,Стрешнево
realtor,https://krasnogorsk.cian.ru/sale/flat/308973626/,25,25,2,59.7,10990000.0,
developer,https://kazan.cian.ru/sale/flat/300752652/,16,19,2,50.3,9235080.0,Горки
real_estate_agent,https://www.cian.ru/sale/flat/305658950/,2,9,2,74.0,30000000.0,Аминьевская
real_estate_agent,https://spb.cian.ru/sale/flat/304205144/,8,13,2,57.9,16212000.0,Приморская
representative_developer,https://krasnodar.cian.ru/sale/flat/308001696/,4,7,2,66.4,8300000.0,
homeowner,https://www.cian.ru/sale/flat/307528719/,8,12,1,38.8,13580000.0,Домодедовская
real_estate_agent,https://www.cian.ru/sale/flat/306924872/,10,12,2,44.0,10800000.0,Грачёвская
real_estate_agent,https://spb.cian.ru/sale/flat/308340645/,5,6,1,41.0,28980000.0,Спортивная
real_estate_agent,https://www.cian.ru/sale/flat/308783142/,22,22,1,15.8,7890000.0,Юго-Западная
developer,https://tyumen.cian.ru/sale/flat/286341879/,15,17,1,36.43,4940000.0,
realtor,https://www.cian.ru/sale/flat/307434429/,3,21,2,59.2,61000000.0,Улица 1905 года
realtor,https://www.cian.ru/sale/flat/297215041/,13,14,1,39.0,17600000.0,Москва-Товарная
developer,https://www.cian.ru/sale/flat/308080996/,2,6,2,71.56,131670400.0,Новокузнецкая
real_estate_agent,https://www.cian.ru/sale/flat/308009678/,12,17,2,57.8,27927000.0,Раменки
developer,https://ekb.cian.ru/sale/flat/303900221/,2,8,1,42.64,7763465.0,Проспект Космонавтов
real_estate_agent,https://www.cian.ru/sale/flat/287678758/,4,26,1,46.0,34000000.0,Давыдково
real_estate_agent,https://www.cian.ru/sale/flat/307751811/,3,8,2,57.0,46900000.0,Пушкинская
developer,https://krasnodar.cian.ru/sale/flat/307190072/,4,12,2,55.2,8103360.0,
real_estate_agent,https://www.cian.ru/sale/flat/299655879/,14,24,2,46.0,31000000.0,Матвеевская
developer,https://krym.cian.ru/sale/flat/299893563/,3,9,1,39.02,17986269.0,
real_estate_agent,https://www.cian.ru/sale/flat/296106356/,6,7,2,96.0,260000000.0,Парк Культуры
real_estate_agent,https://www.cian.ru/sale/flat/308686231/,4,9,2,47.0,26700000.0,Ломоносовский проспект
developer,https://kazan.cian.ru/sale/flat/307111842/,4,19,1,31.8,8840400.0,Горки
real_estate_agent,https://www.cian.ru/sale/flat/308605254/,13,41,1,43.0,23900000.0,Шелепиха
homeowner,https://www.cian.ru/sale/flat/307810393/,9,9,2,60.0,18000000.0,Химки
representative_developer,https://krasnodar.cian.ru/sale/flat/308001791/,2,7,1,39.4,6304000.0,
real_estate_agent,https://sochi.cian.ru/sale/flat/308931688/,5,6,1,35.0,10100000.0,
real_estate_agent,https://sochi.cian.ru/sale/flat/281595648/,2,4,1,31.0,11900000.0,
developer,https://krasnodar.cian.ru/sale/flat/302609107/,3,22,2,69.09,14529627.0,
real_estate_agent,https://sochi.cian.ru/sale/flat/308146438/,4,4,2,40.0,11500000.0,
real_estate_agent,https://www.cian.ru/sale/flat/309028428/,9,14,1,38.5,7200000.0,Зеленоград — Крюково
real_estate_agent,https://sochi.cian.ru/sale/flat/308944494/,5,6,1,40.0,12000000.0,
developer,https://www.cian.ru/sale/flat/304753839/,12,30,2,56.31,21423871.0,Кунцевская
developer,https://kazan.cian.ru/sale/flat/301019031/,2,17,1,35.8,8771000.0,Горки
real_estate_agent,https://www.cian.ru/sale/flat/297952059/,18,22,1,43.0,19200000.0,Стрешнево
unknown,https://www.cian.ru/sale/flat/299351553/,2,6,2,70.0,31900000.0,Варшавская
real_estate_agent,https://www.cian.ru/sale/flat/297558153/,18,22,1,43.0,19500000.0,Стрешнево
real_estate_agent,https://www.cian.ru/sale/flat/304869833/,44,44,2,86.3,38000000.0,Шелепиха
real_estate_agent,https://omsk.cian.ru/sale/flat/304461013/,9,9,2,55.0,5499000.0,
developer,https://kazan.cian.ru/sale/flat/306063177/,5,9,2,83.43,29041983.0,Суконная слобода
real_estate_agent,https://www.cian.ru/sale/flat/309000869/,19,44,2,64.9,21900000.0,Трикотажная
developer,https://ryazan.cian.ru/sale/flat/307427731/,1,4,2,146.56,45908280.0,
unknown,https://www.cian.ru/sale/flat/308859379/,22,32,1,37.35,17780000.0,Нижегородская
real_estate_agent,https://www.cian.ru/sale/flat/307945716/,3,8,2,55.5,24000000.0,Университет
representative_developer,https://novorossiysk.cian.ru/sale/flat/289741613/,11,24,2,73.2,7832400.0,
real_estate_agent,https://www.cian.ru/sale/flat/308627351/,27,28,2,57.8,33450000.0,Раменки
real_estate_agent,https://www.cian.ru/sale/flat/308307056/,15,22,1,30.6,13600000.0,Стрешнево
real_estate_agent,https://www.cian.ru/sale/flat/293943948/,5,10,1,48.5,23500000.0,Спартак
unknown,https://nn.cian.ru/sale/flat/307715272/,1,5,2,44.6,4100000.0,
developer,https://ryazan.cian.ru/sale/flat/303065626/,2,16,1,26.7,3650200.0,
real_estate_agent,https://www.cian.ru/sale/flat/307496200/,1,10,1,31.0,14500000.0,Ломоносовский проспект
real_estate_agent,https://www.cian.ru/sale/flat/308894978/,13,17,2,67.7,27700000.0,Автозаводская
developer,https://kazan.cian.ru/sale/flat/306188777/,2,5,2,61.01,20053987.0,Кремлёвская
developer,https://rostov.cian.ru/sale/flat/296504761/,2,8,2,71.47,7100000.0,
real_estate_agent,https://www.cian.ru/sale/flat/306079971/,15,20,2,79.4,29870000.0,Нагатинская
real_estate_agent,https://spb.cian.ru/sale/flat/297228540/,3,5,2,71.3,39950000.0,
real_estate_agent,https://www.cian.ru/sale/flat/301042658/,24,79,1,72.0,70000000.0,Москва-Сити
real_estate_agent,https://www.cian.ru/sale/flat/308760982/,5,24,1,39.1,19800000.0,Славянский бульвар
developer,https://www.cian.ru/sale/flat/307668235/,3,25,2,64.3,50154000.0,Кунцевская
homeowner,https://spb.cian.ru/sale/flat/308327149/,6,9,2,47.0,13300000.0,Приморская
homeowner,https://krasnogorsk.cian.ru/sale/flat/308850006/,9,10,1,44.0,8500000.0,
real_estate_agent,https://www.cian.ru/sale/flat/308239254/,12,19,2,84.0,59000000.0,Шелепиха
real_estate_agent,https://www.cian.ru/sale/flat/303149151/,9,10,2,90.0,79990000.0,Смоленская
developer,https://www.cian.ru/sale/flat/301259741/,24,42,2,43.0,21606000.0,Нагорная
real_estate_agent,https://www.cian.ru/sale/flat/306652887/,9,68,2,92.0,110000000.0,Москва-Сити
realtor,https://www.cian.ru/sale/flat/306602662/,4,23,1,41.8,20850000.0,Ботанический сад
developer,https://vladivostok.cian.ru/sale/flat/301634059/,10,22,1,37.8,10128000.0,
real_estate_agent,https://www.cian.ru/sale/flat/305738210/,18,79,2,71.8,48000000.0,Москва-Сити
homeowner,https://www.cian.ru/sale/flat/308767223/,5,18,2,39.9,22500000.0,Речной вокзал
real_estate_agent,https://www.cian.ru/sale/flat/307970936/,3,5,2,44.3,47900000.0,Новокузнецкая
real_estate_agent,https://www.cian.ru/sale/flat/307435494/,6,17,1,43.4,19100000.0,Технопарк
real_estate_agent,https://www.cian.ru/sale/flat/304952945/,11,20,1,44.0,22490000.0,Беломорская
developer,https://ufa.cian.ru/sale/flat/302077155/,7,30,2,59.88,10036607.0,
real_estate_agent,https://www.cian.ru/sale/flat/304872335/,6,13,2,120.2,90150000.0,Смоленская
real_estate_agent,https://www.cian.ru/sale/flat/308342683/,4,8,2,46.8,24390000.0,Ломоносовский проспект
real_estate_agent,https://www.cian.ru/sale/flat/307196427/,12,22,2,52.0,19900000.0,Стрешнево
real_estate_agent,https://www.cian.ru/sale/flat/296403571/,4,8,2,64.0,39900000.0,Маяковская
developer,https://www.cian.ru/sale/flat/308261025/,4,17,2,49.8,57968000.0,Воробьёвы горы
real_estate_agent,https://www.cian.ru/sale/flat/305754536/,36,79,2,83.2,120000000.0,Москва-Сити
real_estate_agent,https://sochi.cian.ru/sale/flat/300473065/,12,14,1,31.0,10900000.0,
real_estate_agent,https://www.cian.ru/sale/flat/308421883/,9,20,1,39.74,16802072.0,Тульская
real_estate_agent,https://www.cian.ru/sale/flat/294511036/,4,23,2,90.6,45000000.0,ЦСКА
real_estate_agent,https://www.cian.ru/sale/flat/308554158/,6,6,2,62.8,62000000.0,Парк Культуры
developer,https://www.cian.ru/sale/flat/308909118/,6,13,2,85.19,126021567.0,Цветной бульвар
real_estate_agent,https://www.cian.ru/sale/flat/308999937/,19,41,2,71.0,46500000.0,Шелепиха
developer,https://www.cian.ru/sale/flat/306614387/,3,21,2,59.6,23207346.0,Павелецкая
real_estate_agent,https://www.cian.ru/sale/flat/304287538/,3,8,2,50.0,72000000.0,Новокузнецкая
real_estate_agent,https://www.cian.ru/sale/flat/307812448/,27,39,2,63.88,32990000.0,Аминьевская
real_estate_agent,https://www.cian.ru/sale/flat/304194999/,4,10,2,88.0,74000000.0,Динамо
developer,https://kazan.cian.ru/sale/flat/304842102/,4,5,1,40.17,14461200.0,Кремлёвская
real_estate_agent,https://www.cian.ru/sale/flat/304491113/,11,13,2,81.9,43500000.0,Раменки
real_estate_agent,https://www.cian.ru/sale/flat/308759283/,8,11,2,73.4,70000000.0,Белорусская
developer,https://www.cian.ru/sale/flat/301459955/,4,11,2,85.3,77775516.0,Павелецкая
real_estate_agent,https://www.cian.ru/sale/flat/273273999/,16,46,2,59.1,23500000.0,Калужская
real_estate_agent,https://sergiyev-posad.cian.ru/sale/flat/306032175/,7,9,2,73.9,9200000.0,
developer,https://rostov.cian.ru/sale/flat/296504787/,2,8,1,42.78,4962480.0,
realtor,https://sochi.cian.ru/sale/flat/306118593/,5,10,2,56.0,15200000.0,
representative_developer,https://kaliningrad.cian.ru/sale/flat/308136542/,2,4,2,77.0,19120000.0,
real_estate_agent,https://www.cian.ru/sale/flat/298547671/,4,22,2,66.0,34500000.0,Молодёжная
developer,https://www.cian.ru/sale/flat/308462308/,7,15,2,53.7,50408190.0,Тульская
real_estate_agent,https://www.cian.ru/sale/flat/302676760/,14,41,2,48.0,31500000.0,Кутузовская
developer,https://www.cian.ru/sale/flat/306603287/,3,36,2,68.6,48137992.0,Белорусская
real_estate_agent,https://spb.cian.ru/sale/flat/307659959/,2,10,1,46.7,14477000.0,Удельная
developer,https://ufa.cian.ru/sale/flat/302975403/,3,30,1,40.27,7438594.0,
real_estate_agent,https://sochi.cian.ru/sale/flat/308930725/,7,9,2,78.0,19800000.0,
real_estate_agent,https://spb.cian.ru/sale/flat/306780674/,1,25,1,30.4,7800000.0,Комендантский проспект
real_estate_agent,https://www.cian.ru/sale/flat/303071841/,19,32,1,32.2,25000000.0,Шелепиха
developer,https://ekb.cian.ru/sale/flat/304437850/,5,8,2,44.6,7763000.0,Площадь 1905 года
real_estate_agent,https://www.cian.ru/sale/flat/281250233/,7,21,2,62.0,30000000.0,Ботанический сад
real_estate_agent,https://spb.cian.ru/sale/flat/308003155/,4,11,1,52.4,19900000.0,Обводный канал
